YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 999 99.0 99.0   .45  4.00  3.63 999 1021.2  18.4  22.7 999.0 99.0
1999 01 01 01 999 99.0 99.0   .44  4.00  3.63 999 1021.3  18.8  22.7 999.0 99.0
1999 01 01 02 999 99.0 99.0   .40  3.85  3.61 999 1022.0  18.9  22.7 999.0 99.0
1999 01 01 03 999 99.0 99.0   .39  4.17  3.65 999 1021.9  19.0  22.7 999.0 99.0
1999 01 01 04 999 99.0 99.0   .34  3.85  3.62 999 1021.8  19.1  22.7 999.0 99.0
1999 01 01 05 999 99.0 99.0   .39  4.17  3.60 999 1021.8  19.2  22.7 999.0 99.0
1999 01 01 06 999 99.0 99.0   .40  4.00  3.45 999 1021.2  19.6  22.7 999.0 99.0
1999 01 01 07 999 99.0 99.0   .42  2.70  3.27 999 1021.2  19.6  22.7 999.0 99.0
1999 01 01 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 01 09 999 99.0 99.0   .49  3.12  3.25 999 1020.7  19.8  22.7 999.0 99.0
1999 01 01 10 999 99.0 99.0   .52  3.33  3.29 999 1020.6  19.7  22.7 999.0 99.0
1999 01 01 11 999 99.0 99.0   .51  3.33  3.31 999 1020.5  19.6  22.7 999.0 99.0
1999 01 01 12 999 99.0 99.0   .56  3.45  3.32 999 1020.5  19.8  22.7 999.0 99.0
1999 01 01 13 999 99.0 99.0   .59  3.45  3.33 999 1020.6  19.8  22.7 999.0 99.0
1999 01 01 14 999 99.0 99.0   .64  3.70  3.36 999 1020.9  19.9  22.7 999.0 99.0
1999 01 01 15 999 99.0 99.0   .73  3.57  3.41 999 1021.0  20.2  22.7 999.0 99.0
1999 01 01 16 999 99.0 99.0   .91  3.85  3.62 999 1021.1  20.4  22.7 999.0 99.0
1999 01 01 17 999 99.0 99.0   .94  4.17  3.76 999 1021.0  20.3  22.7 999.0 99.0
1999 01 01 18 999 99.0 99.0  1.06  4.35  3.94 999 1019.7  20.3  22.7 999.0 99.0
1999 01 01 19 999 99.0 99.0  1.06  4.76  4.03 999 1018.7  19.9  22.7 999.0 99.0
1999 01 01 20 999 99.0 99.0  1.05  4.55  4.10 999 1017.7  20.3  22.7 999.0 99.0
1999 01 01 21 999 99.0 99.0  1.10  5.00  4.18 999 1017.0  20.3  22.7 999.0 99.0
1999 01 01 22 999 99.0 99.0  1.11  4.76  4.11 999 1016.4  20.4  22.7 999.0 99.0
1999 01 01 23 999 99.0 99.0  1.17  5.00  4.18 999 1016.3  20.4  22.7 999.0 99.0
1999 01 02 00 999 99.0 99.0  1.25  5.26  4.30 999 1016.5  20.7  22.2 999.0 99.0
1999 01 02 01 999 99.0 99.0  1.41  5.56  4.46 999 1016.3  21.1  22.2 999.0 99.0
1999 01 02 02 999 99.0 99.0  1.44  5.56  4.59 999 1015.8  21.2  22.2 999.0 99.0
1999 01 02 03 999 99.0 99.0  1.47  5.88  4.57 999 1015.1  21.5  22.2 999.0 99.0
1999 01 02 04 999 99.0 99.0  1.73  5.88  4.67 999 1014.9  21.5  22.2 999.0 99.0
1999 01 02 05 999 99.0 99.0  1.75  5.56  4.73 999 1014.2  21.9  21.9 999.0 99.0
1999 01 02 06 999 99.0 99.0  1.70  5.88  4.73 999 1013.1  22.0  21.9 999.0 99.0
1999 01 02 07 999 99.0 99.0  1.77  5.56  4.77 999 1012.4  22.2  21.9 999.0 99.0
1999 01 02 08 999 99.0 99.0  1.96  6.25  5.04 999 1011.0  22.6  22.2 999.0 99.0
1999 01 02 09 999 99.0 99.0  2.42  7.14  5.54 999 1009.8  22.7  21.9 999.0 99.0
1999 01 02 10 999 99.0 99.0  2.56  6.67  5.47 999 1009.4  22.7  21.9 999.0 99.0
1999 01 02 11 999 99.0 99.0  2.66  7.14  5.58 999 1009.4  22.7  21.5 999.0 99.0
1999 01 02 12 999 99.0 99.0  2.61  7.69  5.66 999 1009.1  22.8  21.5 999.0 99.0
1999 01 02 13 999 99.0 99.0  2.71  7.14  5.83 999 1009.2  22.9  21.5 999.0 99.0
1999 01 02 14 999 99.0 99.0  2.53  7.69  5.70 999 1008.8  22.7  21.5 999.0 99.0
1999 01 02 15 999 99.0 99.0  2.53  7.69  5.60 999 1006.7  23.0  21.5 999.0 99.0
1999 01 02 16 999 99.0 99.0  2.83  7.69  5.71 999 1006.8  23.0  21.4 999.0 99.0
1999 01 02 17 999 99.0 99.0  2.71  7.69  5.59 999 1007.8 999.0  21.2 999.0 99.0
1999 01 02 18 999 99.0 99.0  2.46  8.33  5.18 999 1008.2  16.6  21.2 999.0 99.0
1999 01 02 19 999 99.0 99.0  2.56  5.56  5.56 999 1008.2  16.7  21.4 999.0 99.0
1999 01 02 20 999 99.0 99.0  2.37  8.33  5.53 999 1008.5  16.9  21.4 999.0 99.0
1999 01 02 21 999 99.0 99.0  2.26  7.69  5.82 999 1008.4  16.7  21.4 999.0 99.0
1999 01 02 22 999 99.0 99.0  1.98  8.33  5.68 999 1008.6  16.8  21.5 999.0 99.0
1999 01 02 23 999 99.0 99.0  1.87  7.69  5.74 999 1007.6  17.2  21.5 999.0 99.0
