YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 190 12.8 15.5  2.70  6.67  5.33 999 1022.2   7.9   6.3   6.3 99.0 99.00
2005 01 01 01 00 192 12.5 15.4  2.70  6.67  5.40 999 1021.2   7.9   6.3   6.8 99.0 99.00
2005 01 01 02 00 196 12.9 16.9  2.88  7.14  5.44 999 1020.7   8.2   6.3   7.7 99.0 99.00
2005 01 01 03 00 201 12.5 15.1  2.96  6.67  5.52 999 1020.1   8.0   6.3   7.8 99.0 99.00
2005 01 01 04 00 209 11.8 14.5  2.76  7.14  5.32 999 1019.6   7.8   6.3   7.7 99.0 99.00
2005 01 01 05 00 211 11.6 14.4  2.67  6.67  5.27 999 1018.4   8.1   6.3   7.3 99.0 99.00
2005 01 01 06 00 218 11.5 13.9  2.57  6.67  5.21 999 1017.3   7.9   6.3   6.3 99.0 99.00
2005 01 01 07 00 221 11.5 14.2  2.20  6.67  4.88 999 1016.5   7.9   6.3   5.9 99.0 99.00
2005 01 01 08 00 218 10.7 13.3  2.21  5.88  4.92 999 1016.4   8.2   6.3   5.9 99.0 99.00
2005 01 01 09 00 218 10.7 12.9  2.16  6.25  4.98 999 1015.9   8.0   6.3   5.7 99.0 99.00
2005 01 01 10 00 218 10.7 13.0  2.32  6.25  5.05 999 1015.6   7.9   6.3   5.8 99.0 99.00
2005 01 01 11 00 211 10.7 12.9  2.34  6.25  5.04 999 1014.9   7.9   6.3   6.1 99.0 99.00
2005 01 01 12 00 218 11.3 13.2  2.37  6.25  5.05 999 1015.4   7.9   6.3   6.1 99.0 99.00
2005 01 01 13 00 223 10.6 12.6  2.24  5.88  4.90 999 1015.9   7.9   6.3   5.6 99.0 99.00
2005 01 01 14 00 247  9.9 12.1  2.16  6.25  5.01 999 1017.1   7.9   6.3   4.6 99.0 99.00
2005 01 01 15 00 250  7.5  9.3  2.17  6.25  5.04 999 1017.8   7.5   6.3   4.0 99.0 99.00
2005 01 01 16 00 269  8.7 10.3  2.06  6.25  4.96 999 1018.0   7.4   6.3   3.0 99.0 99.00
2005 01 01 17 00 306  9.3 11.5  2.04  6.25  5.05 999 1018.3   7.5   6.3   0.8 99.0 99.00
2005 01 01 18 00 316 11.1 14.5  1.93  6.25  4.92 999 1018.8   7.3   6.3  -0.7 99.0 99.00
2005 01 01 19 00 296  8.2  9.5  1.78  5.88  4.77 999 1020.4   7.1   6.3  -0.5 99.0 99.00
2005 01 01 20 00 297 11.0 14.3  1.64  5.88  4.79 999 1021.8   7.3   6.3   0.3 99.0 99.00
2005 01 01 21 00 295  9.4 11.1  2.09  5.56  4.71 999 1022.7   6.9   6.3   0.7 99.0 99.00
2005 01 01 22 00 310 10.8 13.8  2.10  5.26  5.01 999 1024.5   6.5   6.3   0.7 99.0 99.00
2005 01 01 23 00 323 12.1 14.4  2.39  5.56  5.02 999 1026.4   5.9   6.3  -0.3 99.0 99.00
2005 01 02 00 00 317  9.6 11.7  2.51  5.88  5.06 999 1028.1   5.4   6.3  -0.1 99.0 99.00
2005 01 02 01 00 333 11.8 14.3  2.27  5.88  5.09 999 1028.3   4.7   6.3  -1.3 99.0 99.00
2005 01 02 02 00 336 14.0 18.0  2.27  5.56  4.90 999 1029.5   4.0   6.3  -5.1 99.0 99.00
2005 01 02 03 00 334 12.1 14.6  2.32  5.88  4.91 999 1031.5   3.5   6.3  -6.0 99.0 99.00
2005 01 02 04 00 340 13.0 15.3  2.27  5.88  4.94 999 1032.1   2.7   6.3  -5.4 99.0 99.00
2005 01 02 05 00 347 10.8 13.1  2.21  6.25  4.96 999 1033.4   2.4   6.3  -5.8 99.0 99.00
2005 01 02 06 00 347 11.6 14.5  2.10  5.88  4.76 999 1034.3   1.6   6.3  -8.1 99.0 99.00
2005 01 02 07 00 357 11.5 14.3  2.21  5.56  4.90 999 1035.0   0.9   6.3  -8.4 99.0 99.00
2005 01 02 08 00   2 11.5 13.8  2.43  6.25  5.00 999 1036.0   0.3   6.3  -7.2 99.0 99.00
2005 01 02 09 00   7 10.0 12.1  2.27  5.88  4.98 999 1036.7  -0.6   6.3  -7.4 99.0 99.00
2005 01 02 10 00  15  9.9 12.0  2.02  6.25  4.81 999 1037.7  -1.4   6.3  -7.6 99.0 99.00
2005 01 02 11 00  13 10.0 12.0  1.93  5.88  4.83 999 1038.7  -2.1   6.3  -7.3 99.0 99.00
2005 01 02 12 00  19  8.5 10.6  1.94  5.56  4.84 999 1040.4  -2.5   6.3  -8.5 99.0 99.00
2005 01 02 13 00  31  8.4 11.0  1.81  5.88  4.83 999 1040.7  -2.4   6.3  -8.9 99.0 99.00
2005 01 02 14 00  41  8.3 11.0  1.82  5.88  4.82 999 1040.4  -2.1   6.3  -9.4 99.0 99.00
2005 01 02 15 00  53  7.4  9.5  1.68  5.88  4.68 999 1040.8  -2.1   6.3  -9.7 99.0 99.00
2005 01 02 16 00  62  6.4  9.0  1.65  6.25  4.80 999 1040.7  -1.9   6.3  -9.7 99.0 99.00
2005 01 02 17 00  72  5.3  7.2  1.48  5.88  4.95 999 1039.5  -1.9   6.2  -9.8 99.0 99.00
2005 01 02 18 00 106  4.0  5.2  1.37  6.67  4.99 999 1038.7  -1.6   6.2  -7.7 99.0 99.00
2005 01 02 19 00 108  4.6  6.5  1.35  5.88  4.94 999 1037.6  -1.2   6.3  -7.8 99.0 99.00
2005 01 02 20 00 142  4.6  5.8  1.13  5.88  4.87 999 1037.6  -0.5   6.2  -5.6 99.0 99.00
2005 01 02 21 00 163  5.4  7.4  1.10  5.88  4.89 999 1036.7   0.0   6.1  -5.0 99.0 99.00
2005 01 02 22 00 161  6.6  8.0  1.05 10.00  4.91 999 1036.0   0.6   6.2  -4.1 99.0 99.00
2005 01 02 23 00 180  6.9  8.7  1.08 10.00  4.58 999 1036.0   1.4   6.2  -3.0 99.0 99.00
2005 01 03 00 00 182  7.9  9.6  1.10 10.00  4.48 999 1034.7   2.0   6.2  -2.0 99.0 99.00
2005 01 03 01 00 184  9.9 11.7  1.14 10.00  4.10 999 1033.4   2.6   6.2   0.3 99.0 99.00
2005 01 03 02 00 184 10.8 13.0  1.43  4.17  4.23 999 1031.9   3.3   6.2   1.5 99.0 99.00
2005 01 03 03 00 192 12.0 14.4  1.69  4.76  4.32 999 1030.6   4.0   6.2   2.2 99.0 99.00
2005 01 03 04 00 191 12.4 15.1  2.00  5.26  4.54 999 1029.7   4.7   6.3   2.3 99.0 99.00
2005 01 03 05 00 190 11.9 14.7  2.15  5.56  4.73 999 1028.1   5.2   6.3   3.5 99.0 99.00
2005 01 03 06 00 196 12.5 15.3  2.33  5.88  4.91 999 1026.5   5.9   6.3   4.0 99.0 99.00
2005 01 03 07 00 202 11.8 14.6  2.43  6.25  5.05 999 1025.5   6.5   6.2   4.8 99.0 99.00
2005 01 03 08 00 204 12.1 15.0  2.89  6.67  5.46 999 1024.3   6.7   6.3   5.7 99.0 99.00
2005 01 03 09 00 215 10.2 12.0  2.76  6.67  5.39 999 1023.6   6.7   6.3   6.5 99.0 99.00
2005 01 03 10 00 224  9.7 12.0  2.41  6.67  5.30 999 1023.4   7.0   6.3   6.6 99.0 99.00
2005 01 03 11 00 229  9.1 10.9  2.34  6.67  5.31 999 1023.3   7.0   6.3   6.9 99.0 99.00
2005 01 03 12 00 230  9.1 10.9  2.12  6.67  5.24 999 1022.8   7.1   6.3   6.9 99.0 99.00
2005 01 03 13 00 230  9.8 11.8  2.12  6.67  5.20 999 1022.6   7.4   6.3   7.2 99.0 99.00
2005 01 03 14 00 228  9.6 11.6  2.02  6.67  4.96 999 1022.3   7.4   6.3   6.8 99.0 99.00
2005 01 03 15 00 233  9.2 10.6  1.81  6.25  4.90 999 1022.9   7.5   6.3   6.5 99.0 99.00
2005 01 03 16 00 235  7.1  8.2  1.82  6.67  4.92 999 1022.6   7.4   6.3   6.1 99.0 99.00
2005 01 03 17 00 244  9.2 10.5  1.62  6.25  4.77 999 1021.9   7.8   6.3   6.0 99.0 99.00
2005 01 03 18 00 246  8.2  9.4  1.58  6.25  4.70 999 1021.2   7.6   6.3   5.5 99.0 99.00
2005 01 03 19 00 249  7.4  8.8  1.60  6.25  4.68 999 1021.1   7.4   6.3   5.9 99.0 99.00
2005 01 03 20 00 257  4.9  5.6  1.44  6.25  4.74 999 1021.7   7.4   6.3   6.2 99.0 99.00
2005 01 03 21 00 251  4.5  5.7  1.23  6.25  4.57 999 1022.0   7.4   6.3   6.4 99.0 99.00
2005 01 03 22 00 280  5.0  5.8  1.21  5.88  4.57 999 1023.0   7.5   6.3   6.3 99.0 99.00
2005 01 03 23 00 305  3.1  3.6  1.07  5.88  4.60 999 1023.4   7.1   6.3   6.2 99.0 99.00
2005 01 04 00 00  20  0.6  1.0  1.01  5.88  4.68 999 1023.5   6.7   6.3   6.4 99.0 99.00
2005 01 04 01 00  12  1.3  2.1  1.00  5.56  4.82 999 1023.7   6.6   6.3   6.3 99.0 99.00
2005 01 04 02 00  52  1.9  2.4  0.86  5.56  4.68 999 1023.7   6.7   6.3   6.1 99.0 99.00
2005 01 04 03 00  52  2.9  3.7  0.88  5.26  4.98 999 1023.5   6.6   6.3   6.4 99.0 99.00
2005 01 04 04 00  72  5.4  6.2  0.90  5.56  5.06 999 1022.6   6.2   6.3   6.0 99.0 99.00
2005 01 04 05 00  74  4.5  5.2  0.95  5.56  5.03 999 1022.7   5.8   6.3   5.4 99.0 99.00
2005 01 04 06 00  80  5.3  6.1  0.89  5.56  4.92 999 1021.9   5.6   6.3   5.4 99.0 99.00
2005 01 04 07 00  83  6.5  7.3  0.92  5.56  4.74 999 1021.2   5.6   6.3   5.4 99.0 99.00
2005 01 04 08 00  86  6.0  7.0  0.95  5.56  4.16 999 1021.2   5.3   6.3   5.1 99.0 99.00
2005 01 04 09 00  78  6.2  7.4  0.96  5.88  4.21 999 1020.5   4.9   6.3   4.7 99.0 99.00
2005 01 04 10 00  85  3.6  4.8  0.93  5.56  4.21 999 1020.4   5.0   6.3   4.6 99.0 99.00
2005 01 04 11 00  96  4.8  5.4  0.92  5.56  4.31 999 1020.2   5.1   6.3   4.9 99.0 99.00
2005 01 04 12 00  89  3.7  4.3  0.87 10.00  4.42 999 1020.6   5.0   6.3   4.8 99.0 99.00
2005 01 04 13 00  66  3.0  3.8  0.90  9.09  4.45 999 1021.0   5.0   6.3   4.9 99.0 99.00
2005 01 04 14 00  40  2.9  3.8  0.92 10.00  4.64 999 1021.2   5.1   6.3   4.0 99.0 99.00
2005 01 04 15 00  39  6.4  7.3  0.87  4.17  4.57 999 1021.9   4.4   6.3   3.6 99.0 99.00
2005 01 04 16 00  37  5.4  6.2  0.96  4.35  4.22 999 1022.0   4.1   6.3   3.2 99.0 99.00
2005 01 04 17 00  42  5.5  6.5  1.00  4.17  4.22 999 1021.2   3.8   6.3   2.7 99.0 99.00
2005 01 04 18 00  60  4.9  5.9  1.01  4.17  4.26 999 1020.3   3.6   6.3   2.1 99.0 99.00
2005 01 04 19 00  51  3.2  4.3  0.95  4.55  4.27 999 1020.4   3.5   6.3   2.1 99.0 99.00
2005 01 04 20 00  30  2.8  4.0  0.90  4.00  4.19 999 1021.0   3.6   6.3   1.7 99.0 99.00
2005 01 04 21 00  46  1.7  2.4  0.90  4.35  4.35 999 1021.1   3.6   6.3   2.2 99.0 99.00
2005 01 04 22 00  29  0.2  0.7  0.80  5.26  4.45 999 1021.4   3.6   6.3   1.7 99.0 99.00
2005 01 04 23 00 277  0.9  1.6  0.82 10.00  4.57 999 1022.1   3.9   6.3   2.0 99.0 99.00
2005 01 05 00 00 218  2.0  2.9  0.69 10.00  4.60 999 1022.0   4.0   6.3   2.3 99.0 99.00
2005 01 05 01 00 273  1.3  1.9  0.70 10.00  4.90 999 1022.0   4.3   6.2   2.7 99.0 99.00
2005 01 05 02 00 256  3.6  4.5  0.70  9.09  5.09 999 1021.3   4.7   6.2   2.0 99.0 99.00
2005 01 05 03 00 232  4.4  5.6  0.66 10.00  5.43 999 1020.8   4.7   6.2   2.8 99.0 99.00
2005 01 05 04 00 256  6.3  7.9  0.66 11.11  5.54 999 1020.5   5.1   6.2   2.0 99.0 99.00
2005 01 05 05 00 267  7.6  9.4  0.76  6.25  3.85 999 1019.8   5.4   6.3   1.6 99.0 99.00
2005 01 05 06 00 274  8.3 10.0  1.01  3.45  3.93 999 1019.6   5.1   6.3   0.8 99.0 99.00
2005 01 05 07 00 281  8.4 10.1  1.19  4.00  3.98 999 1019.7   4.8   6.3   0.7 99.0 99.00
2005 01 05 08 00 297  8.3 10.6  1.34  4.35  4.14 999 1019.3   4.7   6.3  -0.5 99.0 99.00
2005 01 05 09 00 331  7.3  9.0  1.34  4.76  4.28 999 1018.9   3.4   6.2   1.1 99.0 99.00
2005 01 05 10 00 356  5.8  7.0  1.16  5.00  4.30 999 1018.9   2.8   6.2  -1.0 99.0 99.00
2005 01 05 11 00 344  7.3  8.9  1.08  4.76  4.30 999 1019.7   2.5   6.1  -2.4 99.0 99.00
2005 01 05 12 00 346  7.8  9.5  1.17  4.55  4.10 999 1020.4   1.9   6.2  -3.3 99.0 99.00
2005 01 05 13 00 346  8.2  9.9  1.36  4.17  4.10 999 1021.1   1.2   6.2  -4.1 99.0 99.00
2005 01 05 14 00 357  8.8 10.9  1.52  4.55  4.29 999 1021.9   0.8   6.2  -4.5 99.0 99.00
2005 01 05 15 00 350  8.4 10.5  1.59  5.00  4.50 999 1022.6   0.2   6.2  -7.4 99.0 99.00
2005 01 05 16 00 354  7.2  9.8  1.51  4.76  4.50 999 1023.4  -0.3   6.2  -7.4 99.0 99.00
2005 01 05 17 00 353  5.9  7.7  1.46  4.76  4.54 999 1022.0  -1.3   6.0  -6.4 99.0 99.00
2005 01 05 18 00 345  7.4  9.0  1.33  5.00  4.64 999 1022.0  -2.7   6.0  -5.0 99.0 99.00
2005 01 05 19 00 329  2.4  3.5  1.20  4.76  4.56 999 1021.1  -2.2   6.0  -6.6 99.0 99.00
2005 01 05 20 00 345  5.6  7.8  1.11  4.35  4.49 999 1021.6  -1.1   6.0  -8.3 99.0 99.00
2005 01 05 21 00 340  5.9  7.9  1.10  4.35  4.41 999 1022.3  -1.0   6.0  -8.7 99.0 99.00
2005 01 05 22 00 337  6.6  8.6  1.05  4.17  4.27 999 1022.0  -0.9   6.0  -7.4 99.0 99.00
2005 01 05 23 00 328  7.4  9.4  1.21  4.35  4.21 999 1022.3  -0.8   6.0  -8.3 99.0 99.00
2005 01 06 00 00 349  6.6  8.6  1.19  4.17  4.22 999 1022.6  -1.0   6.0  -7.8 99.0 99.00
2005 01 06 01 00 348  7.6  9.4  1.11  4.55  4.12 999 1022.8  -1.2   6.0  -8.8 99.0 99.00
2005 01 06 02 00 360  7.5  9.8  1.29  4.55  4.31 999 1022.9  -1.8   6.0 -10.6 99.0 99.00
2005 01 06 03 00   2  6.8  9.4  1.33  4.76  4.20 999 1022.9  -2.2   6.0 -10.0 99.0 99.00
2005 01 06 04 00  19  5.6  7.4  1.14  4.35  4.28 999 1023.5  -2.7   6.0 -10.8 99.0 99.00
2005 01 06 05 00  13  5.5  7.2  1.05  4.55  4.28 999 1023.3  -2.6   6.0 -11.2 99.0 99.00
2005 01 06 06 00  40  6.7  8.9  1.02  4.55  4.24 999 1022.6  -2.5   6.0 -10.2 99.0 99.00
2005 01 06 07 00  41  6.1  7.6  1.03  4.35  4.27 999 1023.3  -3.1   6.0 -10.8 99.0 99.00
2005 01 06 08 00  36  7.1  9.5  0.97  4.17  3.99 999 1022.8  -3.8   6.0  -9.9 99.0 99.00
2005 01 06 09 00  48  4.7  7.0  0.93  4.35  4.11 999 1023.3  -3.7   6.0  -9.8 99.0 99.00
2005 01 06 10 00  49  5.8  7.9  0.92  4.35  4.15 999 1022.8  -3.8   6.0 -10.1 99.0 99.00
2005 01 06 11 00  63  4.7  6.9  0.93  4.17  4.13 999 1023.2  -3.6   6.0  -9.2 99.0 99.00
2005 01 06 12 00  70  5.4  6.5  0.89  4.35  4.23 999 1022.9  -3.5   6.0  -7.7 99.0 99.00
2005 01 06 13 00  82  6.1  7.6  0.83  4.55  4.22 999 1022.6  -3.3   5.9  -6.3 99.0 99.00
2005 01 06 14 00  91  6.5  7.9  0.81 10.00  4.18 999 1022.1  -2.5   6.0  -4.7 99.0 99.00
2005 01 06 15 00  93  7.8  9.3  0.86  4.00  3.91 999 1022.0  -1.6   5.9  -3.9 99.0 99.00
2005 01 06 16 00 100  7.7  9.5  0.96  3.57  3.83 999 1021.0  -1.2   5.9  -3.4 99.0 99.00
2005 01 06 17 00 101  7.1  8.3  1.03  4.17  3.96 999 1019.0  -1.5   5.9  -3.4 99.0 99.00
2005 01 06 18 00  95  8.3 10.0  1.12  3.70  3.90 999 1017.4  -1.2   5.9  -3.1 99.0 99.00
2005 01 06 19 00  96  8.5 10.9  1.18  4.17  4.01 999 1016.7  -1.2   5.9  -2.7 99.0 99.00
