#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 196  0.1  0.5  0.00  0.00  0.00 999 1028.8  -1.0   5.5  -6.1 99.0 99.00
2007 01 01 01 00 183  1.1  2.4  0.00  0.00  0.00 999 1029.0  -1.6   5.5  -5.9 99.0 99.00
2007 01 01 02 00 143  0.2  0.7  0.00  0.00  0.00 999 1028.3  -3.2   4.0  -6.7 99.0 99.00
2007 01 01 03 00 142  0.3  0.9  0.00  0.00  0.00 999 1028.3  -3.8   4.4  -6.3 99.0 99.00
2007 01 01 04 00 188  0.7  1.5  0.00  0.00  0.00 999 1028.3  -3.9   4.4  -6.4 99.0 99.00
2007 01 01 05 00 164  0.8  1.9  0.00  0.00  0.00 999 1028.3  -4.3   4.0  -6.5 99.0 99.00
2007 01 01 06 00 143  0.1  0.4  0.00  0.00  0.00 999 1027.4  -4.3   4.4  -6.5 99.0 99.00
2007 01 01 07 00  49  0.6  2.4  0.00  0.00  0.00 999 1026.2  -0.4   4.7  -3.5 99.0 99.00
2007 01 01 08 00  14  0.8  2.1  0.00  0.00  0.00 999 1025.7  -0.3   4.4  -3.2 99.0 99.00
2007 01 01 09 00 323  1.2  2.1  0.00  0.00  0.00 999 1025.2  -1.1   4.7  -4.6 99.0 99.00
2007 01 01 10 00  16  0.3  1.6  0.00  0.00  0.00 999 1024.3  -1.5   4.8  -4.6 99.0 99.00
2007 01 01 11 00  33  0.1  0.4  0.00  0.00  0.00 999 1023.6  -1.4   5.1  -3.7 99.0 99.00
2007 01 01 12 00 237  0.2  0.9  0.00  0.00  0.00 999 1022.8  -0.4   5.2  -2.4 99.0 99.00
2007 01 01 13 00 258  0.2  0.7  0.00  0.00  0.00 999 1022.6   0.0   5.2  -1.5 99.0 99.00
2007 01 01 14 00 186  2.7  4.1  0.00  0.00  0.00 999 1021.7   2.1   5.1   0.7 99.0 99.00
2007 01 01 15 00 192  2.2  3.4  0.00  0.00  0.00 999 1021.0   2.9   4.8   1.0 99.0 99.00
2007 01 01 16 00 188  2.5  3.7  0.00  0.00  0.00 999 1019.5   3.8   5.1   2.4 99.0 99.00
2007 01 01 17 00 166  1.3  2.7  0.00  0.00  0.00 999 1017.4   4.0   4.8   2.7 99.0 99.00
2007 01 01 18 00 152  2.0  4.6  0.00  0.00  0.00 999 1015.7   4.7   4.8   3.4 99.0 99.00
2007 01 01 19 00 143  1.3  3.2  0.00  0.00  0.00 999 1013.5   5.5   5.1   4.4 99.0 99.00
2007 01 01 20 00 145  1.0  2.4  0.00  0.00  0.00 999 1012.6   5.9   5.2   5.0 99.0 99.00
2007 01 01 21 00 196  0.4  1.4  0.00  0.00  0.00 999 1011.0   6.6   5.5   5.8 99.0 99.00
