#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 277 12.3 15.2  2.58  6.25  5.34 999 1012.8   4.3   6.0  -0.9 99.0 99.00
2008 01 01 01 00 278 12.2 14.8  2.60  6.67  5.34 999 1014.5   4.0   6.0  -1.6 99.0 99.00
2008 01 01 02 00 293 12.4 15.6  2.64  6.25  5.52 999 1015.7   3.6   6.0  -2.5 99.0 99.00
2008 01 01 03 00 305  9.7 11.6  2.48  7.14  5.45 999 1017.1   3.1   6.0  -2.6 99.0 99.00
2008 01 01 04 00 308  7.9 10.0  2.27  6.67  5.32 999 1018.1   2.8   6.0  -2.6 99.0 99.00
2008 01 01 05 00 307  6.1  7.8  2.14  6.67  5.34 999 1018.9   2.4   6.2  -4.6 99.0 99.00
2008 01 01 06 00 310  5.2  6.5  1.90  6.25  5.36 999 1018.8   2.0   6.0  -4.3 99.0 99.00
2008 01 01 07 00 316  5.2  6.6  1.85  6.25  5.39 999 1020.0   2.0   6.0  -5.4 99.0 99.00
2008 01 01 08 00 307  4.0  5.2  1.79  5.88  5.30 999 1020.6   1.9   5.9  -5.1 99.0 99.00
2008 01 01 09 00 311  2.0  3.1  1.48 10.00  5.46 999 1020.7   1.7   6.0  -5.1 99.0 99.00
2008 01 01 10 00 246  1.2  2.1  1.34 10.00  5.51 999 1021.3   1.8   6.0  -4.5 99.0 99.00
2008 01 01 11 00 202  2.5  3.8  1.30 10.00  5.75 999 1022.0   2.1   5.9  -3.7 99.0 99.00
2008 01 01 12 00 165  1.2  2.2  1.40  9.09  6.20 999 1021.2   2.4   5.9  -4.3 99.0 99.00
2008 01 01 13 00 159  1.7  3.1  1.38  9.09  6.60 999 1021.2   2.7   5.9  -5.0 99.0 99.00
2008 01 01 14 00 148  3.9  5.5  1.31  9.09  6.68 999 1020.6   3.1   6.0  -5.1 99.0 99.00
2008 01 01 15 00 127  4.5  5.8  1.35 10.00  6.98 999 1019.9   3.2   6.0  -4.3 99.0 99.00
2008 01 01 16 00 135  6.5  9.2  1.07  9.09  6.28 999 1018.7   3.2   5.9  -2.8 99.0 99.00
2008 01 01 17 00 129  8.9 10.3  1.18  9.09  5.04 999 1015.9   3.5   6.0  -2.2 99.0 99.00
2008 01 01 18 00 131  9.3 11.3  1.38 11.11  4.98 999 1014.5   3.9   6.0  -1.4 99.0 99.00
2008 01 01 19 00 122 10.9 12.6  1.57  4.55  4.79 999 1011.7   4.0   6.0  -0.9 99.0 99.00
2008 01 01 20 00 113 12.9 15.6  1.86  5.26  4.81 999 1008.9   3.7   6.2   0.3 99.0 99.00
2008 01 01 21 00 113 11.3 13.9  2.11  5.88  5.07 999 1008.0   4.3   6.0   1.4 99.0 99.00
2008 01 01 22 00 123 11.4 14.3  2.48  6.25  5.41 999 1006.5   4.7   6.0   2.3 99.0 99.00
2008 01 01 23 00 116 10.3 13.2  2.72  6.67  5.70 999 1004.9   4.6   6.1   3.0 99.0 99.00
