#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 148  5.5  6.5  0.97  7.14  5.49 142 1017.4 999.0  14.2 999.0 99.0 99.00
2012 01 01 00 50 169  5.7  6.7  0.92  6.67  5.08 145 1018.1 999.0  14.1 999.0 99.0 99.00
2012 01 01 01 50 179  6.1  7.5  0.83  7.14  4.96 141 1018.9 999.0  14.1 999.0 99.0 99.00
2012 01 01 02 50 188  5.1  5.9  0.72  7.69  4.68 122 1019.9 999.0  14.1 999.0 99.0 99.00
2012 01 01 03 50 195  4.8  5.9  0.73  7.14  5.11 145 1020.0 999.0  14.1 999.0 99.0 99.00
2012 01 01 04 50 219  4.9  5.7  0.68  7.69  4.99 139 1020.0 999.0  14.0 999.0 99.0 99.00
2012 01 01 05 50 227  5.0  5.9  0.70  7.69  4.46 173 1020.0 999.0  14.0 999.0 99.0 99.00
2012 01 01 06 50 218  4.7  5.9  0.87  4.76  4.61  30 1020.8 999.0  14.0 999.0 99.0 99.00
2012 01 01 07 50 224  3.8  4.6  0.94  5.00  4.45  30 1021.1 999.0  14.1 999.0 99.0 99.00
2012 01 01 08 50 227  3.6  4.4  0.88  4.76  4.46  22 1021.1 999.0  14.3 999.0 99.0 99.00
2012 01 01 09 50 209  3.7  4.4  0.94  5.00  4.62  25 1021.3 999.0  14.4 999.0 99.0 99.00
2012 01 01 10 50 207  3.1  4.1  0.85  4.76  4.63  23 1021.6 999.0  14.2 999.0 99.0 99.00
2012 01 01 11 50 193  2.6  3.1  0.80  4.76  4.57  29 1022.0 999.0  14.0 999.0 99.0 99.00
2012 01 01 12 50 193  1.6  2.2  0.70  4.76  4.57  31 1022.0 999.0  13.7 999.0 99.0 99.00
2012 01 01 13 50 119  0.8  1.2  0.71  5.26  4.80  51 1022.5 999.0  13.7 999.0 99.0 99.00
2012 01 01 14 50  73  1.4  1.9  0.67  5.56  5.00  33 1022.4 999.0  13.8 999.0 99.0 99.00
2012 01 01 15 50  66  1.9  2.5  0.67  5.26  4.99  41 1021.5 999.0  14.2 999.0 99.0 99.00
2012 01 01 16 50  66  5.9  7.0  0.63  4.76  5.16  34 1019.9 999.0  14.4 999.0 99.0 99.00
2012 01 01 17 50  64  7.0  7.9  0.69  5.00  4.47  25 1018.0 999.0  14.5 999.0 99.0 99.00
2012 01 01 18 50  67  7.9  9.2 99.00 99.00 99.00 999 1016.3 999.0  14.6 999.0 99.0 99.00
2012 01 01 19 50  65 10.8 13.2  0.87  3.70  3.86 174 1014.3 999.0  14.7 999.0 99.0 99.00
2012 01 01 20 50  84  9.5 11.5  1.02  4.35  4.02 170 1014.4 999.0  14.7 999.0 99.0 99.00
2012 01 01 21 50  84  9.3 10.6  1.07  4.76  4.25 165 1014.2 999.0  14.3 999.0 99.0 99.00
2012 01 01 22 50  80  9.9 11.7  1.25  5.00  4.36 168 1013.3 999.0  14.1 999.0 99.0 99.00
2012 01 01 23 50  81 10.5 13.0  1.23  5.26  4.44 168 1012.7 999.0  14.0 999.0 99.0 99.00
2012 01 02 00 50  88 11.9 14.8  1.33  5.26  4.43 166 1011.8 999.0  13.9 999.0 99.0 99.00
2012 01 02 01 50  97 11.6 14.2  1.53  5.00  4.48 176 1011.8 999.0  14.0 999.0 99.0 99.00
2012 01 02 02 50 106 11.5 13.8  1.72  5.88  4.81 163 1011.2 999.0  14.1 999.0 99.0 99.00
2012 01 02 03 50 110  9.5 11.4  2.02  5.88  4.97 184 1011.0 999.0  14.3 999.0 99.0 99.00
2012 01 02 04 50 119  5.5  6.4  2.13  5.88  5.32 182 1011.0 999.0  14.4 999.0 99.0 99.00
2012 01 02 05 50 118  6.8  7.7  1.63  6.67  5.20 162 1010.2 999.0  14.4 999.0 99.0 99.00
2012 01 02 08 50 181  9.5 11.1  1.23  6.67  4.65 156 1010.2 999.0  14.1 999.0 99.0 99.00
2012 01 02 09 50 185 11.4 14.0  1.33  6.67  4.35 163 1010.3 999.0  13.9 999.0 99.0 99.00
2012 01 02 10 50 174 12.2 14.4  1.56  4.35  4.40 297 1010.6 999.0  14.0 999.0 99.0 99.00
2012 01 02 11 50 181 11.6 13.5  1.85  5.00  4.72 300 1011.8 999.0  14.0 999.0 99.0 99.00
2012 01 02 12 50 179 11.4 13.8  2.13  5.88  5.17 285 1012.7 999.0  14.1 999.0 99.0 99.00
2012 01 02 13 50 182 10.4 13.0  2.09  6.25  5.08 287 1013.6 999.0  14.1 999.0 99.0 99.00
2012 01 02 14 50 224 10.5 12.6  2.06  6.25  5.27 292 1013.9 999.0  13.4 999.0 99.0 99.00
2012 01 02 15 50 204  8.4 10.6  1.67  6.25  4.99 293 1013.7 999.0  13.2 999.0 99.0 99.00
2012 01 02 16 50 202  8.1  9.6  1.47  5.88  4.90 299 1012.8 999.0  13.4 999.0 99.0 99.00
2012 01 02 17 50 210  6.6  8.3  1.43  5.88  4.80 297 1012.0 999.0  13.6 999.0 99.0 99.00
2012 01 02 18 50 191  7.3  9.9  1.35  5.88  4.90 309 1011.8 999.0  13.6 999.0 99.0 99.00
2012 01 02 19 50 176  6.7  8.9  1.50  6.25  5.10 337 1011.7 999.0  13.9 999.0 99.0 99.00
2012 01 02 20 50 200  6.6  9.0  1.43  7.14  5.14  13 1012.1 999.0  14.3 999.0 99.0 99.00
2012 01 02 21 50 188  5.0  6.8  1.36  7.14  5.19  27 1012.5 999.0  15.2 999.0 99.0 99.00
2012 01 02 22 50 195  6.5  9.0  1.15  6.67  4.85  12 1013.0 999.0  16.1 999.0 99.0 99.00
2012 01 02 23 50 186  6.1  8.7  1.08  7.14  4.74  20 1013.2 999.0  16.5 999.0 99.0 99.00
2012 01 03 00 50 188  8.0 11.2  1.03  6.67  4.55  20 1012.9 999.0  16.6 999.0 99.0 99.00
2012 01 03 01 50 209  8.2  9.8  1.09  4.00  4.23 308 1013.2 999.0  16.8 999.0 99.0 99.00
2012 01 03 02 50 197 10.1 12.3  1.16  4.55  4.21 306 1013.0 999.0  17.4 999.0 99.0 99.00
2012 01 03 03 50 195  8.0  9.9  1.23  5.00  4.48 287 1012.7 999.0  17.5 999.0 99.0 99.00
2012 01 03 04 50 201  6.6  8.7  1.20  5.26  4.58 301 1012.0 999.0  17.2 999.0 99.0 99.00
2012 01 03 05 50 196  7.3 10.0  1.33  5.26  4.68 302 1011.5 999.0  17.2 999.0 99.0 99.00
2012 01 03 06 50 207  8.2 10.1  1.31  5.56  4.62 303 1010.8 999.0  17.3 999.0 99.0 99.00
2012 01 03 07 50 221 12.6 14.7  1.36  5.56  4.47 310 1009.9 999.0  17.5 999.0 99.0 99.00
2012 01 03 08 50 219 12.2 14.8  1.54  5.00  4.54 324 1010.0 999.0  17.5 999.0 99.0 99.00
2012 01 03 09 50 218 12.9 15.8  1.84  5.88  4.70 334 1009.5 999.0  17.5 999.0 99.0 99.00
2012 01 03 10 50 224 13.3 16.0  2.25  5.88  5.02 327 1009.9 999.0  17.3 999.0 99.0 99.00
2012 01 03 11 50 227 12.2 15.3  2.51  6.25  5.40 333 1010.7 999.0  16.9 999.0 99.0 99.00
2012 01 03 12 50 224 13.0 16.5  2.33  6.67  5.40 339 1011.6 999.0  16.8 999.0 99.0 99.00
2012 01 03 13 50 225 13.0 16.7  2.20  6.67  5.13 334 1012.7 999.0  16.6 999.0 99.0 99.00
2012 01 03 14 50 214 13.4 16.8  2.77  7.14  5.74 333 1013.1 999.0  16.2 999.0 99.0 99.00
2012 01 03 15 50 223 11.7 15.3  3.01  7.69  6.06 345 1013.4 999.0  16.1 999.0 99.0 99.00
2012 01 03 16 50 213 14.3 17.2  3.03  7.69  6.07 343 1011.7 999.0  16.1 999.0 99.0 99.00
2012 01 03 17 50 207 15.0 17.9  3.43  7.69  6.35 355 1011.9 999.0  16.3 999.0 99.0 99.00
2012 01 03 18 50 999 14.3 16.8  3.33  7.69  6.22 347 1012.1 999.0  16.1 999.0 99.0 99.00
2012 01 03 19 50 999 15.1 18.5  3.56  8.33  6.43   8 1013.0 999.0  16.1 999.0 99.0 99.00
2012 01 03 20 50 999 15.0 20.3  3.38  8.33  6.31   4 1014.3 999.0  15.9 999.0 99.0 99.00
2012 01 03 21 50 999 14.7 19.2  3.42  8.33  6.22 360 1015.8 999.0  15.9 999.0 99.0 99.00
