YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00  11  1.8  2.3  2.12 16.67  9.28 999 1017.6  11.5  11.7 999.0 99.0 99.00
2001 01 01 01 312  4.2  5.2  2.08 16.67  9.69 999 1018.1  11.5  11.7 999.0 99.0 99.00
2001 01 01 02 326  4.8  6.5  2.32 16.67 10.44 999 1018.3  11.3  11.6 999.0 99.0 99.00
2001 01 01 03 325  5.3  6.6  1.89 16.67  8.97 999 1018.5  11.1  11.5 999.0 99.0 99.00
2001 01 01 04 325  4.9  5.7  1.97 16.67  9.08 999 1018.9  11.1  11.6 999.0 99.0 99.00
2001 01 01 05 321  6.4  7.6  2.22 14.29  9.29 999 1019.2  11.2  11.5 999.0 99.0 99.00
2001 01 01 06 321  7.4  9.2  2.32 14.29  9.23 999 1019.3  11.0  11.5 999.0 99.0 99.00
2001 01 01 07 319  7.2  8.4  2.22 16.67  8.54 999 1019.7  10.6  11.4 999.0 99.0 99.00
2001 01 01 08 324  6.4  7.3  2.12 16.67  8.16 999 1019.6  10.6  11.4 999.0 99.0 99.00
2001 01 01 09 354  2.5  3.9  2.17 14.29  8.49 999 1019.4  10.1  11.4 999.0 99.0 99.00
2001 01 01 10 328  2.3  3.1  2.21 14.29  8.56 999 1019.5   9.9  11.4 999.0 99.0 99.00
2001 01 01 11 347  2.9  3.8  2.42 16.67  9.22 999 1020.0   9.1  11.4 999.0 99.0 99.00
2001 01 01 12  13  2.6  3.3  2.48 14.29  9.52 999 1019.6   9.0  11.3 999.0 99.0 99.00
2001 01 01 13 101  6.0  7.3  2.40 14.29  9.40 999 1019.4  11.1  11.3 999.0 99.0 99.00
2001 01 01 14  89  5.8  7.3  2.53 14.29  8.92 999 1019.5  11.4  11.4 999.0 99.0 99.00
2001 01 01 15  79  7.3  9.5  2.47 14.29  8.72 999 1019.8  11.7  11.3 999.0 99.0 99.00
2001 01 01 16  78  8.5 10.5  2.36 14.29  7.68 999 1019.8  11.4  11.3 999.0 99.0 99.00
2001 01 01 17  75  5.4  8.0  2.51 14.29  8.25 999 1021.4  12.4  11.3 999.0 99.0 99.00
2001 01 01 18  77  8.0 10.3  2.45 14.29  8.33 999 1021.4  11.3  11.3 999.0 99.0 99.00
2001 01 01 19  90  9.5 11.7  2.34 14.29  8.47 999 1021.2  11.9  11.4 999.0 99.0 99.00
2001 01 01 20  96  8.9 10.8  2.29 12.50  8.82 999 1019.8  12.1  11.4 999.0 99.0 99.00
2001 01 01 21  84  6.6  8.4  2.47 14.29  9.08 999 1019.8  12.8  11.4 999.0 99.0 99.00
2001 01 01 22  85  7.1  8.8  2.26 14.29  8.91 999 1019.4  13.1  11.5 999.0 99.0 99.00
2001 01 01 23  89  6.5  8.2  2.19 14.29  8.87 999 1020.0  13.7  11.5 999.0 99.0 99.00
2001 01 02 00  75  5.4  7.1  2.25 14.29  9.00 999 1020.2  13.8  11.5 999.0 99.0 99.00
2001 01 02 01  75  4.1  5.6  2.31 14.29  9.56 999 1021.1  13.4  11.5 999.0 99.0 99.00
2001 01 02 02 276  2.7  3.6  2.33 14.29  9.78 999 1021.8  11.9  11.4 999.0 99.0 99.00
2001 01 02 03 333  0.9  2.4  2.18 14.29 10.15 999 1021.9  11.7  11.4 999.0 99.0 99.00
2001 01 02 04 347  1.4  1.9  2.19 14.29 10.14 999 1022.3  11.9  11.4 999.0 99.0 99.00
2001 01 02 05  75  3.8  5.1  2.12 14.29 10.79 999 1022.4  13.1  11.4 999.0 99.0 99.00
2001 01 02 06  64  3.7  4.7  2.23 16.67 11.43 999 1022.5  12.3  11.4 999.0 99.0 99.00
2001 01 02 07  79  4.8  6.8  2.66 20.00 11.51 999 1022.4  12.2  11.4 999.0 99.0 99.00
2001 01 02 08  77  6.5  8.0  2.38 20.00 10.37 999 1022.5  12.1  11.3 999.0 99.0 99.00
2001 01 02 09  94  6.0  8.6  2.76 20.00 11.27 999 1022.3  12.0  11.3 999.0 99.0 99.00
2001 01 02 10  97  7.3  9.3  3.12 20.00 11.81 999 1022.1  11.4  11.3 999.0 99.0 99.00
2001 01 02 11  96  8.8 10.8  3.18 16.67 11.21 999 1022.3  12.4  11.3 999.0 99.0 99.00
2001 01 02 12  88  8.1 10.4  3.19 16.67 11.10 999 1022.9  11.8  11.3 999.0 99.0 99.00
2001 01 02 13  89  8.4 10.3  2.67 16.67 10.02 999 1022.9  11.9  11.3 999.0 99.0 99.00
2001 01 02 14  84  9.5 12.5  2.85 16.67  9.93 999 1023.2  12.6  11.3 999.0 99.0 99.00
2001 01 02 15  83  9.0 12.1  3.14 16.67 10.10 999 1023.8  12.6  11.3 999.0 99.0 99.00
2001 01 02 16  82  9.3 11.6  2.83 16.67  9.66 999 1023.9  12.9  11.3 999.0 99.0 99.00
2001 01 02 17  95  7.6  9.3  2.55 16.67  9.32 999 1024.4  12.0  11.4 999.0 99.0 99.00
2001 01 02 18  93  8.8 10.8  2.32 16.67  8.79 999 1024.7  12.6  11.4 999.0 99.0 99.00
2001 01 02 19  86  7.8 10.1  2.41 14.29  9.12 999 1025.3  12.5  11.4 999.0 99.0 99.00
2001 01 02 20  90  7.4  9.3  2.30 16.67  8.95 999 1024.8  12.5  11.5 999.0 99.0 99.00
2001 01 02 21  94  6.2  8.1  2.56 14.29  9.92 999 1024.4  13.3  11.5 999.0 99.0 99.00
2001 01 02 22  92  6.3  9.0  2.34 16.67 10.11 999 1024.1  14.2  11.6 999.0 99.0 99.00
2001 01 02 23  83  6.3  8.4  2.28 16.67  9.96 999 1024.1  14.7  11.6 999.0 99.0 99.00
2001 01 03 00  82  5.4  6.7  2.18 16.67  9.84 999 1024.7  14.6  11.6 999.0 99.0 99.00
2001 01 03 01  87  5.8  7.3  2.15 16.67 10.42 999 1024.7  14.1  11.6 999.0 99.0 99.00
2001 01 03 02  94  5.7  6.8  1.98 14.29  9.99 999 1025.2  13.3  11.5 999.0 99.0 99.00
2001 01 03 03  91  6.9  8.6  1.78 14.29  9.57 999 1025.4  13.7  11.5 999.0 99.0 99.00
2001 01 03 04  88  6.5  8.4  1.63 14.29  8.87 999 1025.7  13.3  11.5 999.0 99.0 99.00
2001 01 03 05  85  5.8  7.4  1.87 14.29  9.39 999 1026.0  13.4  11.5 999.0 99.0 99.00
2001 01 03 06  85  6.0  7.9  2.13 14.29 10.48 999 1026.3  13.3  11.5 999.0 99.0 99.00
2001 01 03 07  86  6.6  7.8  2.08 14.29 10.31 999 1026.4  12.9  11.5 999.0 99.0 99.00
2001 01 03 08  87  7.0  8.4  1.68 14.29  8.82 999 1026.7  12.8  11.5 999.0 99.0 99.00
2001 01 03 09  87  7.8  9.1  1.63 12.50  8.08 999 1026.5  12.6  11.5 999.0 99.0 99.00
2001 01 03 10  88  7.6  9.5  2.02 14.29  8.29 999 1026.6  12.5  11.4 999.0 99.0 99.00
2001 01 03 11  92  7.7  9.1  1.85 14.29  8.00 999 1026.8  12.5  11.4 999.0 99.0 99.00
2001 01 03 12  94  7.4  9.1  1.65 14.29  7.48 999 1026.6  12.5  11.4 999.0 99.0 99.00
2001 01 03 13  92  8.0  9.6  1.63 14.29  7.15 999 1026.3  12.4  11.4 999.0 99.0 99.00
2001 01 03 14  90  9.2 10.9  1.69 12.50  6.92 999 1026.4  12.1  11.4 999.0 99.0 99.00
2001 01 03 15  86  8.0 10.1  1.79 11.11  6.87 999 1027.0  12.1  11.3 999.0 99.0 99.00
2001 01 03 16  88  8.5 10.4  1.58 14.29  6.81 999 1027.4  12.1  11.4 999.0 99.0 99.00
2001 01 03 17  86  5.9  8.0  1.67 12.50  7.67 999 1028.3  11.9  11.4 999.0 99.0 99.00
2001 01 03 18  74  7.6  9.2  1.79 12.50  8.20 999 1028.9  12.3  11.4 999.0 99.0 99.00
2001 01 03 19 102  4.5  5.6  1.76 12.50  8.62 999 1029.1  12.7  11.4 999.0 99.0 99.00
2001 01 03 20 292  1.6  2.1  1.68 12.50  8.01 999 1028.6  12.7  11.5 999.0 99.0 99.00
2001 01 03 21 292  3.1  3.8  1.66 12.50  9.13 999 1027.6  12.4  11.8 999.0 99.0 99.00
2001 01 03 22  15  0.1  1.0  1.73 14.29  9.66 999 1027.0  12.7  12.0 999.0 99.0 99.00
2001 01 03 23  90  5.8  7.1  1.75 12.50  9.74 999 1026.0  13.5  11.8 999.0 99.0 99.00
2001 01 04 00  88  5.9  7.6  1.62 14.29  9.91 999 1025.9  13.6  11.8 999.0 99.0 99.00
2001 01 04 01  88  5.8  7.0  1.74 14.29  9.19 999 1026.0  14.0  11.7 999.0 99.0 99.00
2001 01 04 02  72  2.2  2.9  1.65 12.50  9.78 999 1026.1  12.7  11.5 999.0 99.0 99.00
2001 01 04 03  46  2.0  3.5  2.14 12.50 11.01 999 1026.8  12.1  11.5 999.0 99.0 99.00
2001 01 04 04  64  1.4  3.0  2.02 12.50 10.68 999 1026.2  12.5  11.4 999.0 99.0 99.00
2001 01 04 05  94  4.9  6.2  2.10 12.50 10.57 999 1025.6  13.1  11.4 999.0 99.0 99.00
