YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 242  3.0  4.1  1.79 19.05  8.84 999 1014.4  11.9  12.8 999.0 99.0 99.00
2004 01 01 01 237  3.4  4.4  1.70 19.05  8.63 999 1014.4  11.5  12.8 999.0 99.0 99.00
2004 01 01 02 230  2.8  3.6  1.76 19.05  9.10 999 1014.4  11.5  12.8 999.0 99.0 99.00
2004 01 01 03 211  3.8  4.8  1.87 19.05  9.13 999 1014.2  11.5  12.8 999.0 99.0 99.00
2004 01 01 04 208  4.6  5.6  1.78 17.39  9.31 999 1014.7  11.6  12.8 999.0 99.0 99.00
2004 01 01 05 201  5.8  7.1  1.93 17.39  9.44 999 1014.9  11.7  12.8 999.0 99.0 99.00
2004 01 01 06 189  6.0  8.1  1.78 17.39  8.72 999 1014.7  11.8  12.8 999.0 99.0 99.00
2004 01 01 07 183  6.7  8.5  1.97 16.00  8.59 999 1014.0  11.9  12.8 999.0 99.0 99.00
2004 01 01 08 179  8.8 10.3  1.86 16.00  7.07 999 1013.0  11.7  12.8 999.0 99.0 99.00
2004 01 01 09 181 10.7 12.3  1.84 16.00  6.03 999 1012.6  11.2  12.8 999.0 99.0 99.00
2004 01 01 10 185 12.0 14.3  2.33 16.00  6.79 999 1011.9  11.3  12.8 999.0 99.0 99.00
2004 01 01 11 196 12.6 15.4  2.37 16.00  6.26 999 1012.0  11.3  12.8 999.0 99.0 99.00
2004 01 01 12 202 14.0 16.9  2.57 16.00  5.65 999 1011.4  11.3  12.8 999.0 99.0 99.00
2004 01 01 13 188 13.0 15.5  2.67 17.39  5.79 999 1010.2  11.9  12.8 999.0 99.0 99.00
2004 01 01 14 182 13.7 20.3  3.08 16.00  6.17 999 1009.8  12.3  12.8 999.0 99.0 99.00
2004 01 01 15 195 13.7 17.1  3.31 16.00  6.18 999 1009.2  12.5  12.8 999.0 99.0 99.00
2004 01 01 16 190 15.7 20.1  3.72  6.25  6.14 999 1008.2  12.5  12.8 999.0 99.0 99.00
2004 01 01 17 194 16.3 20.7  3.47  7.14  5.99 999 1008.4  12.6  12.8 999.0 99.0 99.00
2004 01 01 18 208 14.5 18.5  4.07  7.69  6.69 999 1009.9  12.6  12.8 999.0 99.0 99.00
2004 01 01 19 284  9.0 11.8  4.23  7.69  7.03 999 1012.3  12.5  12.8 999.0 99.0 99.00
2004 01 01 20 297  9.1 11.5  3.62  8.33  6.92 999 1012.8  12.3  12.8 999.0 99.0 99.00
2004 01 01 21 290  7.9  9.6  3.76  8.33  7.10 999 1013.1  12.2  12.8 999.0 99.0 99.00
2004 01 01 22 272  6.1  8.3  3.41  8.33  6.88 999 1013.6  12.2  12.8 999.0 99.0 99.00
2004 01 01 23 294  6.7  8.2  3.55  9.09  7.45 999 1014.4  11.5  12.8 999.0 99.0 99.00
2004 01 02 00 295  5.6  7.0  3.38  8.33  7.29 999 1015.1  11.3  12.8 999.0 99.0 99.00
2004 01 02 01 304  7.0  8.4  3.35  9.09  7.50 999 1015.6  11.5  12.8 999.0 99.0 99.00
2004 01 02 02 289  5.5  7.4  3.54 10.81  7.84 999 1016.4  11.7  12.8 999.0 99.0 99.00
2004 01 02 03 288  5.2  6.5  3.19  8.33  7.46 999 1016.7  11.6  12.7 999.0 99.0 99.00
2004 01 02 04 315  6.1  7.3  3.39 10.81  7.61 999 1017.4  11.4  12.7 999.0 99.0 99.00
2004 01 02 05 324  3.6  4.9  3.37 10.00  7.72 999 1018.0  11.2  12.7 999.0 99.0 99.00
2004 01 02 06 294  3.8  5.3  3.38 10.81  8.13 999 1018.5  11.2  12.7 999.0 99.0 99.00
2004 01 02 07 282  2.2  3.6  3.04 13.79  7.75 999 1018.6  11.2  12.6 999.0 99.0 99.00
2004 01 02 08 276  3.8  6.1  3.08 10.00  7.96 999 1018.6  11.3  12.6 999.0 99.0 99.00
2004 01 02 09 275  2.9  5.1  3.34 10.00  8.03 999 1018.2  11.2  12.6 999.0 99.0 99.00
2004 01 02 10 266  2.8  4.3  3.11 10.00  7.99 999 1018.4  11.1  12.6 999.0 99.0 99.00
2004 01 02 11 248  3.0  5.0  2.99  9.09  7.73 999 1018.6  11.2  12.6 999.0 99.0 99.00
2004 01 02 12 235  2.9  4.1  3.31 12.90  7.87 999 1018.1  11.2  12.6 999.0 99.0 99.00
2004 01 02 13 206  3.3  4.7  3.13 10.00  7.79 999 1017.5  11.2  12.6 999.0 99.0 99.00
2004 01 02 14 230  4.4  5.7  3.04 10.00  7.78 999 1017.4  10.2  12.7 999.0 99.0 99.00
2004 01 02 15 195  5.3  6.5  2.68 10.00  7.33 999 1017.3  10.8  12.7 999.0 99.0 99.00
2004 01 02 16 231  6.7 10.8  2.75 10.81  7.37 999 1017.7   8.9  12.6 999.0 99.0 99.00
2004 01 02 17 248  7.3  9.0  2.92 13.79  7.81 999 1017.6  11.2  12.6 999.0 99.0 99.00
2004 01 02 18 234  5.7  7.7  2.67 10.81  7.39 999 1018.1  10.7  12.7 999.0 99.0 99.00
2004 01 02 19 251  7.2  9.0  2.62 10.00  7.26 999 1018.0  11.2  12.7 999.0 99.0 99.00
2004 01 02 20 254  5.6  7.2  2.51 10.00  7.27 999 1017.2  11.2  12.7 999.0 99.0 99.00
2004 01 02 21 267  6.2  7.4  2.35 10.81  6.78 999 1016.5  11.1  12.7 999.0 99.0 99.00
2004 01 02 22 276  6.6  8.2  2.19 10.00  6.92 999 1016.2  11.2  12.7 999.0 99.0 99.00
2004 01 02 23 299  7.4  9.1  2.17 11.43  6.76 999 1016.3  11.1  12.7 999.0 99.0 99.00
2004 01 03 00 301  8.5 10.1  2.12 10.00  6.52 999 1016.2  11.1  12.7 999.0 99.0 99.00
2004 01 03 01 300  8.6 10.8  2.10 11.43  6.41 999 1016.4  11.0  12.7 999.0 99.0 99.00
2004 01 03 02 326  7.1  8.9  2.30 12.90  6.36 999 1017.0   9.7  12.7 999.0 99.0 99.00
2004 01 03 03 322  8.6 10.9  2.05 10.81  6.08 999 1017.2  10.4  12.7 999.0 99.0 99.00
2004 01 03 04 324  9.9 12.3  2.32 12.90  6.54 999 1017.5  10.2  12.7 999.0 99.0 99.00
2004 01 03 05 332  9.6 11.6  2.31 10.00  6.19 999 1018.1  10.0  12.6 999.0 99.0 99.00
2004 01 03 06 328  9.1 11.0  2.28 12.12  6.16 999 1018.7   9.6  12.6 999.0 99.0 99.00
2004 01 03 07 324  9.7 11.7  2.49 10.81  6.72 999 1019.0   9.8  12.6 999.0 99.0 99.00
2004 01 03 08 324 11.2 14.0  2.39 12.90  6.32 999 1019.0   9.9  12.6 999.0 99.0 99.00
2004 01 03 09 342  9.7 11.4  2.41 10.81  6.34 999 1019.4   9.5  12.6 999.0 99.0 99.00
2004 01 03 10 355  7.9  9.3  2.22 11.43  6.25 999 1020.1   9.0  12.6 999.0 99.0 99.00
2004 01 03 11 345  6.3  7.5  2.21 12.12  6.57 999 1020.5   8.9  12.6 999.0 99.0 99.00
2004 01 03 12 346  6.4  8.0  2.01 12.12  6.45 999 1020.6   8.9  12.6 999.0 99.0 99.00
2004 01 03 13 345  6.2  7.8  2.21 12.90  7.06 999 1020.7   8.8  12.6 999.0 99.0 99.00
2004 01 03 14 357  6.5  8.4  1.79 10.00  6.22 999 1020.9   8.9  12.6 999.0 99.0 99.00
2004 01 03 15 353  7.7  8.9  1.88 10.81  6.43 999 1021.6   8.7  12.6 999.0 99.0 99.00
2004 01 03 16 338  8.6 10.2  2.19 12.90  6.54 999 1022.5   8.7  12.5 999.0 99.0 99.00
2004 01 03 17 350  8.0  9.0  2.17 12.90  6.45 999 1023.7   8.8  12.4 999.0 99.0 99.00
2004 01 03 18 339  7.4  9.4  2.02 11.43  6.26 999 1024.8   9.0  12.4 999.0 99.0 99.00
2004 01 03 19 335  7.8  9.5  2.00 12.90  6.51 999 1025.2   9.3  12.4 999.0 99.0 99.00
2004 01 03 20 328  7.7  9.6  1.89 12.12  6.15 999 1024.9   9.4  12.3 999.0 99.0 99.00
2004 01 03 21 327  7.5  8.9  1.82 12.12  6.11 999 1024.8   9.4  12.3 999.0 99.0 99.00
2004 01 03 22 326  7.8  9.6  1.96 12.90  6.63 999 1024.6   9.6  12.2 999.0 99.0 99.00
2004 01 03 23 328  6.9  8.4  1.83 12.12  6.37 999 1024.9   9.7  12.1 999.0 99.0 99.00
2004 01 04 00 333  7.0  8.1  1.86 12.12  6.55 999 1025.0   9.9  12.1 999.0 99.0 99.00
2004 01 04 01 333  6.7  8.1  1.84 12.12  6.60 999 1025.1  10.0  12.0 999.0 99.0 99.00
2004 01 04 02 340  6.0  7.2  1.86 12.12  6.58 999 1025.6  10.1  12.0 999.0 99.0 99.00
2004 01 04 03 334  6.7  8.6  1.69 12.90  6.24 999 1026.0  10.0  12.0 999.0 99.0 99.00
