#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 50  89  2.5  3.5  0.75  5.56  4.49 107 9999.0  20.4  22.9  12.0 99.0 99.00
2008 01 01 01 50  62  1.9  2.8  0.73  5.26  4.39  97 9999.0  20.4  22.7  12.0 99.0 99.00
2008 01 01 02 50  28  2.1  3.3  0.73  5.26  4.55  95 9999.0  20.4  22.7  12.3 99.0 99.00
2008 01 01 03 50  12  2.3  3.2  0.64  5.56  4.51 113 9999.0  20.3  22.7  12.0 99.0 99.00
2008 01 01 04 50 349  1.9  2.5  0.66  5.56  4.50 110 9999.0  20.3  22.7  12.1 99.0 99.00
2008 01 01 05 50 330  1.9  2.5  0.62  5.26  4.55 106 9999.0  20.3  22.7  12.5 99.0 99.00
2008 01 01 06 50 302  4.9  6.4  0.60  5.26  4.59 110 9999.0  20.4  22.7  11.6 99.0 99.00
2008 01 01 07 50 315  8.0  9.7  0.61  5.26  4.74  98 9999.0  20.4  22.7  10.6 99.0 99.00
2008 01 01 08 50 320  8.7 10.9  0.72  3.03  3.51 322 9999.0  19.4  22.7  10.9 99.0 99.00
2008 01 01 09 50 338 11.0 13.1  0.97  3.70  3.75 312 9999.0  18.1  22.7   8.8 99.0 99.00
2008 01 01 10 50 357 12.6 15.2  1.35  4.35  4.10 323 9999.0  16.5  22.7   7.1 99.0 99.00
2008 01 01 11 50 360 13.0 15.5  1.91  5.56  4.61 335 9999.0  15.5  22.7   4.6 99.0 99.00
2008 01 01 12 50 358 13.6 16.5  2.33  6.25  5.10 344 9999.0  14.4  22.2   3.8 99.0 99.00
2008 01 01 13 50 358 13.4 16.5  2.77  6.67  5.52 350 9999.0  13.6  22.2   4.8 99.0 99.00
2008 01 01 14 50 360 13.2 16.8  2.92  7.14  5.69 349 9999.0  12.9  22.2   2.1 99.0 99.00
2008 01 01 15 50   2 12.6 16.1  3.26  7.14  5.95 351 9999.0  12.5  22.2   1.7 99.0 99.00
2008 01 01 16 50 358 12.8 16.3  2.91  7.14  5.76 354 9999.0  12.4  22.2   3.2 99.0 99.00
2008 01 01 17 50 353 11.8 15.3  2.80  7.14  5.62 355 9999.0  12.5  22.2  -0.1 99.0 99.00
2008 01 01 18 50 346 12.3 14.4  2.79  7.14  5.76 348 9999.0  12.7  22.2   0.9 99.0 99.00
2008 01 01 19 50 350 13.1 15.7  2.68  7.14  5.62 355 9999.0  12.5  22.2  -2.1 99.0 99.00
2008 01 01 20 50 357 11.9 14.6  2.56  7.14  5.45 348 9999.0  12.6  22.2  -0.3 99.0 99.00
2008 01 01 21 50 354 11.3 15.1  2.44  6.25  5.32 355 9999.0  12.6  22.2  -1.3 99.0 99.00
2008 01 01 22 50 360 12.5 14.7  2.32  6.67  5.19 345 9999.0  13.0  22.2  -2.7 99.0 99.00
2008 01 01 23 50 352 11.1 14.0  2.07  6.25  5.00 346 9999.0  12.9  22.2  -3.6 99.0 99.00
2008 01 02 00 50 353 12.5 14.9  2.13  6.25  5.05 348 9999.0  12.9  22.2  -3.2 99.0 99.00
2008 01 02 01 50 353 11.8 16.7  2.06  5.88  4.98 350 9999.0  12.7  22.2  -3.9 99.0 99.00
2008 01 02 02 50 345 12.3 15.4  2.34  6.25  5.27 343 9999.0  12.3  22.2  -3.4 99.0 99.00
2008 01 02 03 50 342 11.6 15.2  2.39  6.25  5.23 344 9999.0  11.7  22.2  -2.9 99.0 99.00
2008 01 02 04 50 336 12.0 15.1  2.36  6.67  5.21 337 9999.0  11.7  22.2  -1.0 99.0 99.00
2008 01 02 05 50 339 12.6 17.4  2.11  6.67  5.10 338 9999.0  11.4  22.2  -4.2 99.0 99.00
2008 01 02 06 50 341 13.2 17.0  2.43  6.25  5.16 334 9999.0  11.0  22.2  -3.0 99.0 99.00
2008 01 02 07 50 342 13.2 17.5  2.27  6.67  5.24 336 9999.0  10.3  22.2  -2.5 99.0 99.00
2008 01 02 08 50 346 12.8 16.9  2.30  6.67  5.24 331 9999.0   9.2  22.2  -1.8 99.0 99.00
2008 01 02 09 50 340 13.1 16.1  2.35  6.67  5.27 336 9999.0   8.5  22.2  -1.8 99.0 99.00
2008 01 02 10 50 341 13.1 16.8  2.63  6.25  5.36 337 9999.0   7.9  22.2  -1.5 99.0 99.00
2008 01 02 11 50 349 12.7 17.7  2.71  7.14  5.58 346 9999.0   7.4  22.2  -1.2 99.0 99.00
2008 01 02 12 50 347 13.1 16.0  2.85  7.14  5.74 341 9999.0   7.0  22.2  -2.2 99.0 99.00
2008 01 02 13 50 347 12.0 14.9  2.60  7.69  5.50 340 9999.0   6.6  22.2  -2.3 99.0 99.00
2008 01 02 14 50 356 12.5 16.7  2.66  7.14  5.59 347 9999.0   6.1  22.2  -3.3 99.0 99.00
2008 01 02 15 50 347 12.7 16.7  2.92  7.14  5.67 349 9999.0   5.8  22.2  -3.5 99.0 99.00
2008 01 02 16 50 347 11.7 14.5  2.58  7.14  5.54 341 9999.0   5.4  22.2  -4.4 99.0 99.00
2008 01 02 17 50 350 11.3 13.8  2.81  7.14  5.69 345 9999.0   5.2  22.2  -3.2 99.0 99.00
2008 01 02 18 50 356 11.2 14.2  2.34  7.14  5.31 346 9999.0   5.3  22.2  -3.9 99.0 99.00
2008 01 02 19 50 357 11.0 14.0  2.26  6.67  5.23 352 9999.0   5.3  22.2  -3.6 99.0 99.00
2008 01 02 20 50 348  9.9 13.4  2.01  6.25  5.06 347 9999.0   6.0  22.2  -3.0 99.0 99.00
2008 01 02 21 50 354 11.0 15.1  2.02  6.67  5.12 346 9999.0   6.5  22.2  -4.9 99.0 99.00
2008 01 02 22 50 360 11.0 14.8  1.90  6.25  4.97 345 9999.0   7.0  22.2  -3.1 99.0 99.00
2008 01 02 23 50 360 10.7 14.7  1.85  5.88  4.78 352 9999.0   7.0  22.2  -4.6 99.0 99.00
2008 01 03 00 50 357 11.3 14.6  1.86  5.88  4.85 351 9999.0   7.4  22.2  -1.6 99.0 99.00
2008 01 03 01 50   4 12.0 15.7  1.88  5.88  4.83 353 9999.0   7.3  22.2  -3.5 99.0 99.00
2008 01 03 02 50   8 11.8 16.3  1.97  5.88  4.79 358 9999.0   6.7  22.2  -3.6 99.0 99.00
2008 01 03 03 50  21  9.9 13.4  1.93  6.25  4.98 354 9999.0   6.3  22.2  -4.3 99.0 99.00
2008 01 03 04 50  23 10.6 14.5  2.11  6.25  5.02   6 9999.0   6.1  22.2  -3.0 99.0 99.00
2008 01 03 05 50  32 11.6 14.5  2.12  6.25  5.11   2 9999.0   5.2  22.1  -4.5 99.0 99.00
2008 01 03 06 50  26  9.9 12.6  2.02  6.67  5.00   7 9999.0   5.1  22.0  -3.5 99.0 99.00
2008 01 03 07 50  31  9.3 12.4  2.16  6.25  5.21  10 9999.0   4.4  22.0  -3.9 99.0 99.00
2008 01 03 08 50  23 10.5 13.3  2.07  5.88  5.15  19 9999.0   4.8  21.9  -1.7 99.0 99.00
2008 01 03 09 50  28  9.4 11.6  1.84  6.25  4.89  25 9999.0   4.8  21.9  -1.7 99.0 99.00
2008 01 03 10 50  23  9.4 12.8  1.85  6.25  4.97  34 9999.0   5.2  21.9  -2.3 99.0 99.00
2008 01 03 11 50  28 10.1 13.7  1.83  6.25  5.01  38 9999.0   5.2  21.9  -1.2 99.0 99.00
2008 01 03 12 50  35  8.9 11.4  1.78  6.25  4.91  47 9999.0   5.4  21.9  -1.5 99.0 99.00
2008 01 03 13 50  41  8.4 11.0  1.90  6.67  5.16  45 9999.0   6.0  21.9   0.1 99.0 99.00
2008 01 03 14 50  37  8.8 11.7  1.79  6.67  5.19  48 9999.0   6.6  21.9  -0.3 99.0 99.00
2008 01 03 15 50  56  6.9  9.4  1.78  6.67  5.13  50 9999.0   7.1  21.9  -1.9 99.0 99.00
2008 01 03 16 50  50  7.7 10.2  1.64  5.88  5.00  45 9999.0   7.2  21.6  -0.9 99.0 99.00
2008 01 03 17 50  49  6.3  9.6  1.59  6.25  4.99  48 9999.0   7.8  21.5  -0.9 99.0 99.00
2008 01 03 18 50  57  6.9  9.8  1.57  6.25  4.96  53 9999.0   8.5  21.5   0.1 99.0 99.00
2008 01 03 19 50  57  5.3  8.4  1.50  6.25  4.93  54 9999.0   9.0  21.5  -0.5 99.0 99.00
2008 01 03 20 50  58  6.5  9.8  1.39  6.67  5.00  59 9999.0   9.3  21.5   0.2 99.0 99.00
2008 01 03 21 50  68  5.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 03 22 50  61  5.9  8.6  1.30  6.67  4.91  65 9999.0   9.8  21.4  -0.4 99.0 99.00
2008 01 03 23 50  69  6.1  8.3  1.18  6.25  4.91  67 9999.0  10.4  21.4  -0.8 99.0 99.00
2008 01 04 00 50  78  5.8  8.3  1.12  6.25  4.84  68 9999.0  10.6  21.4  -1.4 99.0 99.00
2008 01 04 01 50  84  5.4  7.2  1.16  6.25  4.76  69 9999.0  11.0  21.4   1.6 99.0 99.00
2008 01 04 02 50 109  6.1  8.8  1.10  5.88  4.66  70 9999.0  11.3  21.4  -0.1 99.0 99.00
2008 01 04 03 50  96  6.1  8.7  1.10  5.88  4.60  80 9999.0  11.6  21.4  -0.5 99.0 99.00
2008 01 04 04 50 111  5.6  8.7  1.15  5.56  4.59  75 9999.0  11.7  21.2   0.9 99.0 99.00
2008 01 04 05 50 112  7.3 10.3  1.07  5.88  4.59  76 9999.0  11.7  21.1   1.3 99.0 99.00
2008 01 04 06 50 123  5.3  7.9  1.09  6.67  4.71  97 9999.0  12.1  21.1   0.2 99.0 99.00
2008 01 04 07 50 119  5.5  7.3  1.02  6.67  4.68  94 9999.0  12.2  21.1   1.3 99.0 99.00
2008 01 04 08 50  93  6.2  8.9  1.03  7.14  4.54 103 9999.0  12.5  21.1   2.2 99.0 99.00
2008 01 04 09 50 117  6.2  8.0  1.04  6.25  4.62  96 9999.0  12.6  21.2   1.5 99.0 99.00
2008 01 04 10 50  71  4.9  7.8  1.03  5.26  4.56  94 9999.0  12.6  21.4   2.6 99.0 99.00
2008 01 04 11 50  96  5.9  8.3  1.03  5.56  4.61 100 9999.0  13.3  21.4   2.8 99.0 99.00
2008 01 04 12 50 105  5.3  7.8  1.05  5.56  4.56 114 9999.0  13.3  21.4   0.6 99.0 99.00
2008 01 04 13 50  98  6.8  9.2 99.00 99.00 99.00 999 9999.0  14.1  21.4   2.9 99.0 99.00
